,index,speaker,turn_type,text_annotated,text_user,text_correct
34,70,student,student,"<DMCC corr=""My"">my</DMCC> favourite  favourite <GNN corr=""snack"">snacks</GNN> is San  is San <DMCC corr=""Carlo"">carlo</DMCC> chips but  chips but <LSPR corr=""to"">for</LSPR> drink I love  drink I love <DMCC corr=""Coca Cola"">coca cola</DMCC>. .",my favourite snacks is San carlo chips but for drink I love coca cola.,My favourite snack is San Carlo chips but to drink I love Coca Cola.
35,72,student,student,"<DMCC corr=""No"">no</DMCC>  <DMCC corr=""I"">i</DMCC>  <GWC corr=""prefer"">favourite</GWC> the San Carlo traditional snack  the San Carlo traditional snack",no i favourite the San Carlo traditional snack,No I prefer the San Carlo traditional snack
36,74,student,student,"<DMCC corr=""Taralli"">taralli</DMCC> is very good but  is very good but <DMCC corr=""I"">i</DMCC> hate grissini because  hate grissini because <DMCC corr=""I"">i</DMCC> don't eat ham.  don't eat ham.",taralli is very good but i hate grissini because i don't eat ham.,Taralli is very good but I hate grissini because I don't eat ham.
37,76,student,student,"<DMCC corr=""Ice"">ice</DMCC> cream is very good in  cream is very good in <DMCC corr=""Italy"">italy</DMCC>",ice cream is very good in italy,Ice cream is very good in Italy
38,78,student,student,"<Z corr=""I have a favorite flavor"">flavor</Z>",flavor,I have a favorite flavor
39,80,student,student,"<DMCC corr=""I"">i</DMCC> love  love <DMCC corr=""Nutella"">nutella</DMCC> and  and <FS corr=""pistachio"">pistacchio</FS>",i love nutella and pistacchio,I love Nutella and pistachio
40,82,student,student,"<GNN corr=""Gelaterias""><DMCC corr=""Gelateria"">gelateria</DMCC></GNN> in  in <DMCC corr=""Italy"">italy</DMCC>  <GVN corr=""are"">is</GVN> the top  the top",gelateria in italy is the top,Gelaterias in Gelateria Italy are the top
41,84,student,student,"<DMCC corr=""There"">there</DMCC> are  are <WR corr=""\0"">a</WR>  <FS corr=""different"">differnce</FS> good  good <GNN corr=""gelaterias"">gelateria</GNN> in my town  in my town",there are a differnce good gelateria in my town,There are \0 different good gelaterias in my town
42,0,student,student,"Hi, can I have <Z corr=""a conversation in English"">an English conversation</Z>  <FS corr=""with"">whit</FS> you? you?","Hi, can I have an English conversation whit you?","Hi, can I have a conversation in English with you?"
43,2,student,student,"<DMCC corr=""Another"">another</DMCC> question? question?",another question?,Another question?
44,4,student,student,"<DMCC corr=""Can"">can</DMCC> you ask me another question? you ask me another question?",can you ask me another question?,Can you ask me another question?
45,6,student,student,"<DMCC corr=""My"">my</DMCC> favorite city  favorite city <GPP corr=""\0"">it</GPP>'s Barcellona, I's Barcellona, I<GVAUX corr=""\0"">'m</GVAUX> go  go <LSADV corr=""there"">here</LSADV> every year but, I  every year but, I <XVCO corr=""would like to go"">would like go</XVCO>  <LSPR corr=""to"">in</LSPR> Madrid, Valencia, Vienna and my  Madrid, Valencia, Vienna and my <LP corr=""dream travel"">travel dream</LP>  <GPP corr=""\0"">it</GPP>'s 's <GVNF corr=""to visit"">visit</GVNF> Tokyo Tokyo","my favorite city it's Barcellona, I'm go here every year but, I would like go in Madrid, Valencia, Vienna and my travel dream it's visit Tokyo","My favorite city \0's Barcellona, I \0 go there every year but, I would like to go to Madrid, Valencia, Vienna and my dream travel \0's to visit Tokyo"
46,8,student,student,"About Barcelona my favorite <LSN corr=""piece of architecture"">architecture</LSN> are Sagrada Familia because  are Sagrada Familia because <GPP corr=""it"">she</GPP>'s 's <GA corr=""the"">a</GA> biggest monument in the middle of town, and  biggest monument in the middle of town, and <GPP corr=""I"">\0</GPP>  <WO corr=""like very much""><LSADV corr="""">very much</LSADV> like</WO>  <GPP corr=""\0"">me</GPP> Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for  Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for <GDO corr=""its"">his</GDO> cooking  cooking <FS corr=""culture"">colture</FS>","About Barcelona my favorite architecture are Sagrada Familia because she's a biggest monument in the middle of town, and \0 very much like me Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for his cooking colture","About Barcelona my favorite piece of architecture are Sagrada Familia because it's the biggest monument in the middle of town, and I like very much like \0 Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for its cooking culture"
47,10,student,student,"<DMCC corr=""Now"">now</DMCC>, , <LP corr=""do a role play"">simulate role play</LP>","now, simulate role play","Now, do a role play"
48,12,student,student,"<CSINTER corr=""Translate into Italian""><DMCC corr=""Traduci"">traduci</DMCC> in italiano</CSINTER>",traduci in italiano,Translate into Italian Traduci in italiano
49,14,student,student,"<DMCC corr=""Yes"">yes</DMCC>",yes,Yes
50,16,student,student,"Hello! <DMCC corr=""The"">the</DMCC>  <GNN corr=""dates"">date</GNN> is from 20 September to 5 October,  is from 20 September to 5 October, <Z corr=""?"">I would change a food <FS corr=""culture"">colture</FS></Z>, in particular sushi and visit the , in particular sushi and visit the <GNC corr=""city's monuments""><GNN corr=""monuments"">monument</GNN> city</GNC> and  and <GNN corr=""film"">films</GNN>  <GNN corr=""sets"">set</GNN>","Hello! the date is from 20 September to 5 October, I would change a food colture, in particular sushi and visit the monument city and films set","Hello! The dates is from 20 September to 5 October, ?, in particular sushi and visit the culture city's monuments and monuments city film sets"
51,18,student,student,"Doraemond, Inazuma Eleven and <GA corr=""\0"">the</GA>  <CSINTRA corr=""comics"">Fumetti</CSINTRA>","Doraemond, Inazuma Eleven and the Fumetti","Doraemond, Inazuma Eleven and \0 comics"
52,20,student,student,"<CSINTER corr=""Translate the last question for me""><DMCC corr=""Traducimi"">traducimi</DMCC> l'ultima domanda</CSINTER>",traducimi l'ultima domanda,Translate the last question for me Traducimi l'ultima domanda
53,22,student,student,"<CSINTER corr=""Both options, but I do you say it in English?""><DMCC corr=""Entrambi"">entrambi</DMCC> le informazioni, ma come si dice in inglese?</CSINTER>","entrambi le informazioni, ma come si dice in inglese?","Both options, but I do you say it in English? Entrambi le informazioni, ma come si dice in inglese?"
54,24,student,student,"<DMCC corr=""Ok"">ok</DMCC>, I would like recommendations for both specific activities and accommodations during my stay, I would like recommendations for both specific activities and accommodations during my stay","ok, I would like recommendations for both specific activities and accommodations during my stay","Ok, I would like recommendations for both specific activities and accommodations during my stay"
55,26,student,student,"<DMCC corr=""Ok"">ok</DMCC> this informations  this informations <GPP corr=""\0"">it</GPP>'s sufficient but's sufficient but<QR corr=""\0"">,</QR> I have a big passion, Japanese  I have a big passion, Japanese <LSN corr=""Motocross bikes"">Motocross</LSN>  <LSPR corr=""such as"">as</LSPR> Yamaha,Honda and Kawasaki, when can I go to visit them? Yamaha,Honda and Kawasaki, when can I go to visit them?","ok this informations it's sufficient but, I have a big passion, Japanese Motocross as Yamaha,Honda and Kawasaki, when can I go to visit them?","Ok this informations \0's sufficient but \0 I have a big passion, Japanese Motocross bikes such as Yamaha,Honda and Kawasaki, when can I go to visit them?"
56,1,student,student,"Hi! I want to practice my English, let's do a roleplay activity!","Hi! I want to practice my English, let's do a roleplay activity!","Hi! I want to practice my English, let's do a roleplay activity!"
57,3,student,student,"I'm a university student in search of a house here in Forlì, you are the one that is going to help me","I'm a university student in search of a house here in Forlì, you are the one that is going to help me","I'm a university student in search of a house here in Forlì, you are the one that is going to help me"
58,5,student,student,"Hi Pi. Yes <XVPR corr=""I'm currently searching for""><GADVO corr=""I'm currently searching"">currently I'm searching</GADVO></XVPR> a place  a place <GDT corr=""\0"">where</GDT> to stay; I'd like a place possibly near the Campus to stay; I'd like a place possibly near the Campus",Hi Pi. Yes currently I'm searching a place where to stay; I'd like a place possibly near the Campus,Hi Pi. Yes I'm currently searching for a place I'm currently searching \0 to stay; I'd like a place possibly near the Campus
59,7,student,student,"I personally prefer living alone, however if there's no possibility I'm open to <GVNF corr=""sharing"">share</GVNF> the house with others the house with others","I personally prefer living alone, however if there's no possibility I'm open to share the house with others","I personally prefer living alone, however if there's no possibility I'm open to sharing the house with others"
60,9,student,student,300-400€,300-400€,300-400€
61,11,student,student,Definitely the studio apartment sounds more interesting,Definitely the studio apartment sounds more interesting,Definitely the studio apartment sounds more interesting
62,13,student,student,"That's exactly what I was looking for, thanks!","That's exactly what I was looking for, thanks!","That's exactly what I was looking for, thanks!"
63,15,student,student,"Yes of course, however may I ask you more questions about the place <GDT corr=""where"">\0</GDT>  <WO corr=""the apartment is located"">is located the apartment</WO>??","Yes of course, however may I ask you more questions about the place \0 is located the apartment?","Yes of course, however may I ask you more questions about the place where the apartment is located?"
64,17,student,student,"Are there any gyms <LSADV corr=""nearby"">near</LSADV>??",Are there any gyms near?,Are there any gyms nearby?
65,19,student,student,"Sounds great, thanks!","Sounds great, thanks!","Sounds great, thanks!"
66,21,student,student,If it's possible,If it's possible,If it's possible
67,23,student,student,"I'm surely interested in the apartment, however can you tell me something more about the other <LSN corr=""option"">choice</LSN>??","I'm surely interested in the apartment, however can you tell me something more about the other choice?","I'm surely interested in the apartment, however can you tell me something more about the other option?"
68,25,student,student,I'd like to know more about the apartment first,I'd like to know more about the apartment first,I'd like to know more about the apartment first
69,27,student,student,"Sounds good to me, in what kind of area is <GPP corr=""it"">\0</GPP> located? located?","Sounds good to me, in what kind of area is \0 located?","Sounds good to me, in what kind of area is it located?"
70,29,student,student,"I'm the type of person who <GVN corr=""likes"">like</GVN> to cook on his own. Are there any grocery stores nearby where I can do  to cook on his own. Are there any grocery stores nearby where I can do <GA corr=""the"">\0</GA> shopping with a small amount of money? shopping with a small amount of money?",I'm the type of person who like to cook on his own. Are there any grocery stores nearby where I can do \0 shopping with a small amount of money?,I'm the type of person who likes to cook on his own. Are there any grocery stores nearby where I can do the shopping with a small amount of money?
71,31,student,student,Thank you!,Thank you!,Thank you!
72,33,student,student,I'd prefer the apartment,I'd prefer the apartment,I'd prefer the apartment
73,35,student,student,I'll think about it,I'll think about it,I'll think about it
74,37,student,student,"Ok. Now let's change the topic. Let's <LSN corr=""have"">do</LSN> a small conversation about  a small conversation about <GA corr=""the"">\0</GA> environment environment",Ok. Now let's change the topic. Let's do a small conversation about \0 environment,Ok. Now let's change the topic. Let's have a small conversation about the environment
75,39,student,student,"Nowadays climate change <GVN corr=""affects"">affect</GVN> everything and everyone. The  everything and everyone. The <FS corr=""rising"">raising</FS> of the temperature  of the temperature <GVN corr=""causes"">cause</GVN> the melting of the ice sheets and the  the melting of the ice sheets and the <FS corr=""rising"">raising</FS> of the sea level; to solve  of the sea level; to solve <GPD corr=""these"">this</GPD> issues  issues <FS corr=""we"">with</FS> can surely recycle more to lower the level of greenhouse gases. What are your thoughts? can surely recycle more to lower the level of greenhouse gases. What are your thoughts?",Nowadays climate change affect everything and everyone. The raising of the temperature cause the melting of the ice sheets and the raising of the sea level; to solve this issues with can surely recycle more to lower the level of greenhouse gases. What are your thoughts?,Nowadays climate change affects everything and everyone. The rising of the temperature causes the melting of the ice sheets and the rising of the sea level; to solve these issues we can surely recycle more to lower the level of greenhouse gases. What are your thoughts?
76,41,student,student,"That's right, however not everyone can or <GVN corr=""wants"">want</GVN> to adopt a more eco-friendly lifestyle, to adopt a more eco-friendly lifestyle,<GPR corr=""which"">\0</GPR>  <GVAUX corr=""is"">\0</GVAUX> seen as something boring. Maybe by increasing the tax on petrol we can solve this problem seen as something boring. Maybe by increasing the tax on petrol we can solve this problem","That's right, however not everyone can or want to adopt a more eco-friendly lifestyle,\0 \0 seen as something boring. Maybe by increasing the tax on petrol we can solve this problem","That's right, however not everyone can or wants to adopt a more eco-friendly lifestyle, which is seen as something boring. Maybe by increasing the tax on petrol we can solve this problem"
77,43,student,student,"What kind of <FS corr=""subsidies"">subsides</FS>  <WO corr=""would you like to offer"">you would like to offer</WO>? ? <FS corr=""There"">Ther</FS> are many, however most of  are many, however most of <FS corr=""them"">the</FS> are very difficult to  are very difficult to <LSV corr=""implement"">make</LSV>","What kind of subsides you would like to offer? Ther are many, however most of the are very difficult to make","What kind of subsidies would you like to offer? There are many, however most of them are very difficult to implement"
78,1,student,student,"What is your favorite <LP corr=""Fashion Week outfit"">outfit of <DMCC corr=""Fashion Week"">fashion week</DMCC></LP> ? ?",What is your favorite outfit of fashion week ?,What is your favorite Fashion Week outfit ? Fashion Week
79,3,student,student,"I think that my favorite <GVT corr=""was"">was been</GVT> Angelina Jolie's outfit Angelina Jolie's outfit",I think that my favorite was been Angelina Jolie's outfit,I think that my favorite was Angelina Jolie's outfit
80,5,student,student,"<GDO corr=""Her"">His</GDO>  <FS corr=""fur"">foor</FS> was  was <GA corr=""\0"">a</GA> light brown , I loved it with her  light brown , I loved it with her <WO corr=""skin color"">color skin</WO>","His foor was a light brown , I loved it with her color skin","Her fur was \0 light brown , I loved it with her skin color"
81,7,student,student,"Can you <XVPR corr=""suggest to me"">suggest me</XVPR> any tips for  any tips for <GA corr=""\0"">the</GA> university? university?",Can you suggest me any tips for the university?,Can you suggest to me any tips for \0 university?
82,9,student,student,"I'm so scared <DMCA corr=""because"">cause</DMCA> I don't know  I don't know <GADVO corr=""English very well"">very well English</GADVO> and I  and I <GVT corr=""chose"">choose</GVT> international relations international relations",I'm so scared cause I don't know very well English and I choose international relations,I'm so scared because I don't know English very well and I chose international relations
83,11,student,student,Thanks so much,Thanks so much,Thanks so much
84,13,student,student,"I hate to talk <LP corr=""in such a basic way"">so basic</LP> in English in English",I hate to talk so basic in English,I hate to talk in such a basic way in English
85,15,student,student,"Hi, I <GVT corr=""would"">'ll</GVT> like to reserve a table for 2 at 20:30 like to reserve a table for 2 at 20:30","Hi, I 'll like to reserve a table for 2 at 20:30","Hi, I would like to reserve a table for 2 at 20:30"
86,17,student,student,I mean the film,I mean the film,I mean the film
87,19,student,student,"Do you like <LWCO corr=""Breakfast at Tiffany's"">Breakfast to Tiffany</LWCO> ? ?",Do you like Breakfast to Tiffany ?,Do you like Breakfast at Tiffany's ?
88,21,student,student,"<DMCA corr=""Oh my god"">Omg</DMCA>",Omg,Oh my god
89,23,student,student,"Yesss, I saw it <LSADV corr=""countless"">uncountable</LSADV> times times","Yesss, I saw it uncountable times","Yesss, I saw it countless times"
90,25,student,student,"I'm <WR corr=""\0"">fall</WR>  <XNPR corr=""in love with"">in love of</XNPR> the  the <GVNF corr=""ending"">end</GVNF>, where she lost the cat and she confesses , where she lost the cat and she confesses <GDO corr=""her"">his</GDO>  <FM corr=""feelings"">feels</FM> for the man for the man","I'm fall in love of the end, where she lost the cat and she confesses his feels for the man","I'm \0 in love with the ending, where she lost the cat and she confesses her feelings for the man"
91,1,student,student,"<FS corr=""Oh"">Ho</FS>, what do you think about University?, what do you think about University?","Ho, what do you think about University?","Oh, what do you think about University?"
92,3,student,student,"I think the same, <DMCC corr=""I"">i</DMCC> love my university love my university","I think the same, i love my university","I think the same, I love my university"
93,5,student,student,"I study <LWCO corr=""International relations and diplomatic affairs"">science of diplomatic relationships</LWCO> in Forlì in Forlì",I study science of diplomatic relationships in Forlì,I study International relations and diplomatic affairs in Forlì
94,7,student,student,"Yes of course, it is fantastic, and <DMCC corr=""I"">i</DMCC> think that  think that <DMCC corr=""I"">i</DMCC> have  have <GVM corr=""chosen"">chose</GVM> the  the <LSADJ corr=""right"">good</LSADJ> way for my future way for my future","Yes of course, it is fantastic, and i think that i have chose the good way for my future","Yes of course, it is fantastic, and I think that I have chosen the right way for my future"
95,9,student,student,"I thought about it, but <DMCC corr=""I"">i</DMCC> am not  am not <XVPR corr=""convinced on""><GVM corr=""convinced"">convince</GVM> about</XVPR> what  what <Z corr=""I would like to do"">like me</Z> after  after <GA corr=""\0"">the</GA> university, but  university, but <DMCC corr=""I"">i</DMCC> know that this is the right way know that this is the right way","I thought about it, but i am not convince about what like me after the university, but i know that this is the right way","I thought about it, but I am not convinced on what convinced about I would like to do after \0 university, but I know that this is the right way"
96,11,student,student,"I love my <Z corr=""day-to-day life"">days</Z>, , <DMCC corr=""I"">i</DMCC> wake up early,  wake up early, <DMCC corr=""I"">i</DMCC> do my things, my  do my things, my <GNC corr=""hobbies"">hobby's</GNC> and I revise my  and I revise my <LSN corr=""documents"">files</LSN>  <WO corr=""for university in the afternoon"">for the afternoon in university</WO>, to be ready for , to be ready for <GPI corr=""everything"">all</GPI> . .","I love my days, i wake up early, i do my things, my hobby's and I revise my files for the afternoon in university, to be ready for all .","I love my day-to-day life, I wake up early, I do my things, my hobbies and I revise my documents for university in the afternoon, to be ready for everything ."
97,13,student,student,"I go to <GA corr=""\0"">the</GA> university  university <GDI corr=""every day"">all days</GDI> by train,  by train, <DMCC corr=""I"">i</DMCC> take the train  take the train <LSPR corr=""at"">in</LSPR> different times, but every day I return  different times, but every day I return <WR corr=""\0"">at</WR> home very  home very <GADJCS corr=""late"">later</GADJCS> and after  and after <GADVO corr=""I immediately go"">I go immediately</GADVO> to my volleyball training to my volleyball training","I go to the university all days by train, i take the train in different times, but every day I return at home very later and after I go immediately to my volleyball training","I go to \0 university every day by train, I take the train at different times, but every day I return \0 home very late and after I immediately go to my volleyball training"
98,15,student,student,"My days are very full, <GPR corr=""when"">what</GPR>  <DMCC corr=""I"">i</DMCC> have time I see also my boyfriend have time I see also my boyfriend","My days are very full, what i have time I see also my boyfriend","My days are very full, when I have time I see also my boyfriend"
99,17,student,student,"Yes, of course","Yes, of course","Yes, of course"
100,19,student,student,"I <XVPR corr=""would like to"">would like</XVPR>  <LSV corr=""evaluate"">value</LSV> all opportunities to go  all opportunities to go <LSPR corr=""to"">in</LSPR> Verona 3 days and 2 nights Verona 3 days and 2 nights",I would like value all opportunities to go in Verona 3 days and 2 nights,I would like to evaluate all opportunities to go to Verona 3 days and 2 nights
101,21,student,student,"I would like to go <LSPR corr=""to"">in</LSPR> Verona with my boyfriend, what can I visit Verona with my boyfriend, what can I visit<QM corr=""?"">\0</QM>","I would like to go in Verona with my boyfriend, what can I visit\0","I would like to go to Verona with my boyfriend, what can I visit ?"
102,23,student,student,"For lunch and dinner <GVAUX corr=""can"">do</GVAUX> you give me some  you give me some <XNUC corr=""advice"">advices</XNUC><QM corr=""?"">\0</QM>",For lunch and dinner do you give me some advices\0,For lunch and dinner can you give me some advice ?
103,25,student,student,"<GPR corr=""What"">\0</GPR> About the hotel  About the hotel <LSADV corr=""near"">nearly</LSADV> to  to <GA corr=""the"">\0</GA> Spa of Verona Spa of Verona",\0 About the hotel nearly to \0 Spa of Verona,What About the hotel near to the Spa of Verona
104,27,student,student,"<Z corr=""Do you think Aquardens"">Aquardens for you</Z> is a good spa to spend 2 days is a good spa to spend 2 days<QM corr=""?"">\0</QM>",Aquardens for you is a good spa to spend 2 days\0,Do you think Aquardens is a good spa to spend 2 days ?
105,29,student,student,"<Z corr=""Do you think the cost is high"">The cost is <LSADJ corr=""high"">elevate</LSADJ> for you</Z><QM corr=""?"">\0</QM>",The cost is elevate for you\0,Do you think the cost is high high for you ?
106,31,student,student,"<Z corr=""Do you think"">For you</Z>  <GPP corr=""it"">\0</GPP> is good for a birthday gift is good for a birthday gift<QM corr=""?"">\0</QM>",For you \0 is good for a birthday gift\0,Do you think it is good for a birthday gift ?
107,33,student,student,"Thank you, you are very funny.","Thank you, you are very funny.","Thank you, you are very funny."
108,1,student,student,"<DMCC corr=""My"">my</DMCC> day is going  day is going <GWC corr=""well"">good</GWC>, but , but <GPP corr=""it"">\0</GPP> is very very hot,  is very very hot, <GPP corr=""it"">there</GPP>  <GVN corr=""is"">are</GVN> 22°C  22°C","my day is going good, but \0 is very very hot, there are 22°C","My day is going well, but it is very very hot, it is 22°C"
109,3,student,student,Yes.,Yes.,Yes.
110,5,student,student,"<DMCC corr=""Let"">let</DMCC>'s engage in a role play activity where 's engage in a role play activity where <DMCC corr=""I"">i</DMCC> play the role of  play the role of <GA corr=""a"">\0</GA>  <CSINTRA corr=""customer"">cliente</CSINTRA> and you  and you <GVT corr=""are"">will be</GVT> the  the <LP corr=""manga bookseller""><CSINTRA corr=""bookseller"">venditore</CSINTRA> of manga</LP> in a  in a <LSN corr=""bookshop"">library</LSN>",let's engage in a role play activity where i play the role of \0 cliente and you will be the venditore of manga in a library,Let's engage in a role play activity where I play the role of a customer and you are the manga bookseller in a bookseller of manga bookshop
