,index,speaker,turn_type,text_an,text_og,text_ok
16,32,student,student,"Yeah, that' <GVAUX corr=""s"">\0</GVAUX> so true! Bora Bora is <GA corr=""\0"">a</GA> <WR corr=""\0"">very</WR> <LP corr=""heaven on earth"">earthly heaven</LP> <FS corr=""and"">an</FS> I wanna <WR corr=""\0"">always</WR> make <GA corr=""a"">the</GA> good choice for this trip!","Yeah, that'\0 so true! Bora Bora is a very earthly heaven an I wanna always make the good choice for this trip!","Yeah, that' s so true! Bora Bora is \0 \0 heaven on earth and I wanna \0 make a good choice for this trip!"
17,34,student,student,"You're so great! Thank you for everything! <FS corr=""\0"">ù</FS>",You're so great! Thank you for everything!ù,You're so great! Thank you for everything! \0
18,36,student,student,"Yeah, of course. See you soon, my trip is coming!","Yeah, of course. See you soon, my trip is coming!","Yeah, of course. See you soon, my trip is coming!"
19,0,student,student,"Hi, can I have <Z corr=""a conversation in English"">an English conversation</Z> <FS corr=""with"">whit</FS> you?","Hi, can I have an English conversation whit you?","Hi, can I have a conversation in English with you?"
20,2,student,student,"<DMCC corr=""Another"">another</DMCC> question?",another question?,Another question?
21,4,student,student,"<DMCC corr=""Can"">can</DMCC> you ask me another question?",can you ask me another question?,Can you ask me another question?
22,6,student,student,"<DMCC corr=""My"">my</DMCC> favorite city <GPP corr=""\0"">it</GPP>'s Barcellona, I <GVAUX corr=""\0"">'m</GVAUX> go <LSADV corr=""there"">here</LSADV> every year but, I <XVCO corr=""would like to go"">would like go</XVCO> <LSPR corr=""to"">in</LSPR> Madrid, Valencia, Vienna and my <LP corr=""dream travel"">travel dream</LP> <GPP corr=""\0"">it</GPP>'s <GVNF corr=""to visit"">visit</GVNF> Tokyo","my favorite city it's Barcellona, I'm go here every year but, I would like go in Madrid, Valencia, Vienna and my travel dream it's visit Tokyo","My favorite city \0's Barcellona, I \0 go there every year but, I would like to go to Madrid, Valencia, Vienna and my dream travel \0's to visit Tokyo"
23,8,student,student,"About Barcelona my favorite <LSN corr=""piece of architecture"">architecture</LSN> are Sagrada Familia because <GPP corr=""it"">she</GPP>'s <GA corr=""the"">a</GA> biggest monument in the middle of town, and <GPP corr=""I"">\0</GPP> <WO corr=""like very much"">None</WO> <LSADV corr="""">very much</LSADV> like <GPP corr=""\0"">me</GPP> Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for <GDO corr=""its"">his</GDO> cooking <FS corr=""culture"">colture</FS>","About Barcelona my favorite architecture are Sagrada Familia because she's a biggest monument in the middle of town, and \0 very much like me Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for his cooking colture","About Barcelona my favorite piece of architecture are Sagrada Familia because it's the biggest monument in the middle of town, and I like very much like \0 Parc Guell, Casa Batlò and Barceloneta. Tokyo interests me for its cooking culture"
24,10,student,student,"<DMCC corr=""Now"">now</DMCC>, <LP corr=""do a role play"">simulate role play</LP>","now, simulate role play","Now, do a role play"
25,12,student,student,"<CSINTER corr=""Translate into Italian"">None</CSINTER> <DMCC corr=""Traduci"">traduci</DMCC> in italiano",traduci in italiano,Translate into Italian Traduci in italiano
26,14,student,student,"<DMCC corr=""Yes"">yes</DMCC>",yes,Yes
27,16,student,student,"Hello! <DMCC corr=""The"">the</DMCC> <GNN corr=""dates"">date</GNN> is from 20 September to 5 October, <Z corr=""?"">I would change a food </Z>, in particular sushi and visit the <FS corr=""culture"">colture</FS> <GNC corr=""city's monuments"">None</GNC> and <GNN corr=""monuments"">monument</GNN> city <GNN corr=""film"">films</GNN> <GNN corr=""sets"">set</GNN>","Hello! the date is from 20 September to 5 October, I would change a food colture, in particular sushi and visit the monument city and films set","Hello! The dates is from 20 September to 5 October, ?, in particular sushi and visit the culture city's monuments and monuments city film sets"
28,18,student,student,"Doraemond, Inazuma Eleven and <GA corr=""\0"">the</GA> <CSINTRA corr=""comics"">Fumetti</CSINTRA>","Doraemond, Inazuma Eleven and the Fumetti","Doraemond, Inazuma Eleven and \0 comics"
29,20,student,student,"<CSINTER corr=""Translate the last question for me"">None</CSINTER> <DMCC corr=""Traducimi"">traducimi</DMCC> l'ultima domanda",traducimi l'ultima domanda,Translate the last question for me Traducimi l'ultima domanda
30,22,student,student,"<CSINTER corr=""Both options, but I do you say it in English?"">None</CSINTER> <DMCC corr=""Entrambi"">entrambi</DMCC> le informazioni, ma come si dice in inglese?","entrambi le informazioni, ma come si dice in inglese?","Both options, but I do you say it in English? Entrambi le informazioni, ma come si dice in inglese?"
31,24,student,student,"<DMCC corr=""Ok"">ok</DMCC>, I would like recommendations for both specific activities and accommodations during my stay","ok, I would like recommendations for both specific activities and accommodations during my stay","Ok, I would like recommendations for both specific activities and accommodations during my stay"
32,26,student,student,"<DMCC corr=""Ok"">ok</DMCC> this informations <GPP corr=""\0"">it</GPP>'s sufficient but <QR corr=""\0"">,</QR> I have a big passion, Japanese <LSN corr=""Motocross bikes"">Motocross</LSN> <LSPR corr=""such as"">as</LSPR> Yamaha,Honda and Kawasaki, when can I go to visit them?","ok this informations it's sufficient but, I have a big passion, Japanese Motocross as Yamaha,Honda and Kawasaki, when can I go to visit them?","Ok this informations \0's sufficient but \0 I have a big passion, Japanese Motocross bikes such as Yamaha,Honda and Kawasaki, when can I go to visit them?"
33,1,student,student,"<DMCC corr=""I"">i</DMCC>'m fine",i'm fine,I'm fine
34,3,student,student,"<DMCC corr=""I"">i</DMCC> think we <GVAUX corr=""should"">\0</GVAUX> let  the conversatione flow naturally",i think we \0 let  the conversatione flow naturally,I think we should let  the conversatione flow naturally
35,5,student,student,"<DMCC corr=""I"">i</DMCC>'m <FS corr=""excited"">exited</FS> when <DMCC corr=""I"">i</DMCC> go out with my friends",i'm exited when i go out with my friends,I'm excited when I go out with my friends
36,7,student,student,"<DMCC corr=""We"">we</DMCC> <XVCO corr=""like dancing"">like dance </XVCO>",we like dance,We like dancing
37,9,student,student,"<DMCC corr=""I"">i</DMCC> like all types of <FS corr=""music"">miusic</FS> <QC corr=""."">,</QC> Do you like <FS corr=""music"">miusic</FS>?","i like all types of miusic, Do you like miusic?",I like all types of music . Do you like music?
38,11,student,student,"<DMCC corr=""I"">i</DMCC> like <DMCC corr=""Italian"">italian</DMCC> singers",i like italian singers,I like Italian singers
39,13,student,student,"<DMCC corr=""I"">i</DMCC> don't have a favorite <DMCC corr=""Italian"">italian</DMCC> singer.",i don't have a favorite italian singer.,I don't have a favorite Italian singer.
40,15,student,student,"<DMCC corr=""Do"">do</DMCC> you <XVCO corr=""feel like starting"">None</XVCO> <FS corr=""feel"">fell</FS> like start <FS corr=""with"">whit</FS> a <WR corr=""\0"">a</WR> role play <QM corr=""?"">\0</QM>",do you fell like start whit a a role play\0,Do you feel like starting feel like start with a \0 role play ?
41,17,student,student,"<DMCA corr=""Okay"">ok</DMCA>",ok,Okay
42,19,student,student,"<DMCC corr=""We"">we</DMCC> can start <FS corr=""with"">whit</FS> a medieval adventure",we can start whit a medieval adventure,We can start with a medieval adventure
43,21,student,student,"<DMCC corr=""Yes"">yes</DMCC>, <DMCC corr=""I"">i</DMCC> accept this adventure","yes, i accept this adventure","Yes, I accept this adventure"
44,23,student,student,"<DMCC corr=""Yes"">yes</DMCC>, <DMCC corr=""I"">i</DMCC> <GVT corr=""will undertake"">undertake</GVT> this quest","yes, i undertake this quest","Yes, I will undertake this quest"
45,25,student,student,"<DMCC corr=""What"">what</DMCC> <GVAUX corr=""does"">\0</GVAUX> <WO corr=""this map represent"">None</WO>? <FS corr=""represent"">rappresent</FS> this map",what \0 rappresent this map?,What does this map represent? represent this map
46,27,student,student,"<DMCA corr=""Okay"">ok</DMCA> <CSINTRA corr=""thank you"">grzie</CSINTRA>",ok grzie,Okay thank you
47,29,student,student,"<DMCC corr=""I"">i</DMCC> will gather my courage before proceeding",i will gather my courage before proceeding,I will gather my courage before proceeding
48,31,student,student,"<DMCC corr=""I"">i</DMCC> <LP corr=""have changed my mind"">None</LP>, <GVT corr=""have changed"">change</GVT> idea <DMCC corr=""I"">i</DMCC> will <XVPR corr=""enter"">enter in</XVPR> the castle","i change idea, i will enter in the castle","I have changed my mind, have changed idea I will enter the castle"
49,33,student,student,"<DMCC corr=""I"">i</DMCC>'m going to take the <FS corr=""first"">firt</FS> one",i'm going to take the firt one,I'm going to take the first one
50,35,student,student,"<DMCC corr=""What"">what</DMCC> was that sound?",what was that sound?,What was that sound?
51,37,student,student,"<DMCC corr=""I"">i</DMCC> <GVT corr=""will keep"">keep</GVT> moving down the corridor",i keep moving down the corridor,I will keep moving down the corridor
52,39,student,student,"<DMCC corr=""I"">i</DMCC> will venture deep into the castle",i will venture deep into the castle,I will venture deep into the castle
53,41,student,student,"<DMCC corr=""I"">i</DMCC> don't know",i don't know,I don't know
54,43,student,student,"<DMCC corr=""Now"">now</DMCC> it's <GA corr=""\0"">the</GA> time <LSPR corr=""for"">to</LSPR> <GA corr=""a"">\0</GA> new small talk",now it's the time to \0 new small talk,Now it's \0 time for a new small talk
55,45,student,student,"<GA corr=""\0"">the</GA> university <GVAUX corr=""has been"">\0</GVAUX> keeping me busy <FS corr=""lately"">letaly</FS>",the university \0 keeping me busy letaly,\0 university has been keeping me busy lately
56,47,student,student,"<DMCC corr=""Education Science"">education science</DMCC>",education science,Education Science
57,49,student,student,"<DMCC corr=""I"">i</DMCC> chose to study <DMCC corr=""Education Science"">education science</DMCC> after a formative <FS corr=""experience"">expirience</FS> that <DMCC corr=""I"">i</DMCC> <GVT corr=""did"">do</GVT> in a <FS corr=""community"">comunity</FS> for <FS corr=""people"">peple</FS> <FS corr=""with"">whit</FS> drug addictions",i chose to study education science after a formative expirience that i do in a comunity for peple whit drug addictions,I chose to study Education Science after a formative experience that I did in a community for people with drug addictions
58,51,student,student,"<DMCC corr=""I"">i</DMCC> <GVT corr=""learnt"">lern</GVT> that <GVT corr=""everybody"">evryboy</GVT> can take wrong <GNN corr=""decisions"">decision</GNN>, but <WO corr=""we all also have to relate to"">None</WO> the <GADVO corr=""we also have"">also we have</GADVO> to <XVPR corr=""relate to"">relate all  at</XVPR> <FS corr=""single"">singol</FS> situation <FS corr=""and"">an</FS> the context <GPR corr=""\0"">that</GPR> each person <GVN corr=""lives"">live</GVN> in <WR corr=""\0"">None</WR> <GDO corr=""their"">\0</GDO> own life","i lern that evryboy can take wrong decision, but also we have to relate all  at the singol situation an the context that each person live in \0 own life","I learnt that everybody can take wrong decisions, but we all also have to relate to the we also have to relate to single situation and the context \0 each person lives in \0 their own life"
59,53,student,student,"<DMCC corr=""I"">i</DMCC> think that <GA corr=""\0"">the</GA> empathy and <GA corr=""\0"">the</GA> understanding are fundamental",i think that the empathy and the understanding are fundamental,I think that \0 empathy and \0 understanding are fundamental
60,1,student,student,"Hi <DMCC corr=""Pi"">pi</DMCC> can we do a roleplay to help me practice my <DMCC corr=""English"">english</DMCC>?",Hi pi can we do a roleplay to help me practice my english?,Hi Pi can we do a roleplay to help me practice my English?
61,3,student,student,I would like to do a customer service scenario,I would like to do a customer service scenario,I would like to do a customer service scenario
62,5,student,student,"Hi <DMCC corr=""I"">i</DMCC> recently bought a new phone but I'm having trouble connecting it to the Wi-fi, how can I resolve the <FS corr=""problem"">problema</FS>?","Hi i recently bought a new phone but I'm having trouble connecting it to the Wi-fi, how can I resolve the problema?","Hi I recently bought a new phone but I'm having trouble connecting it to the Wi-fi, how can I resolve the problem?"
63,7,student,student,"I have a Redmi 9 and <GDO corr=""I'm"">my</GDO> trying to connect It to my Wi-fi whose operator is <DMCC corr=""Poste Mobile"">poste mobile</DMCC>",I have a Redmi 9 and my trying to connect It to my Wi-fi whose operator is poste mobile,I have a Redmi 9 and I'm trying to connect It to my Wi-fi whose operator is Poste Mobile
64,9,student,student,"Yes <DMCC corr=""I"">i</DMCC> just checked if <DMCC corr=""I"">i</DMCC> have all the right info and <DMCC corr=""I"">i</DMCC> made sure that the Wi-fi is on, but it's still not connecting to my phone","Yes i just checked if i have all the right info and i made sure that the Wi-fi is on, but it's still not connecting to my phone","Yes I just checked if I have all the right info and I made sure that the Wi-fi is on, but it's still not connecting to my phone"
65,11,student,student,"I already tried to restart my phone but it didn't work, it <FS corr=""may"">my</FS> be that my router is too far, but even when <DMCC corr=""I"">i</DMCC>'m in the same room as the router my phone won't connect","I already tried to restart my phone but it didn't work, it my be that my router is too far, but even when i'm in the same room as the router my phone won't connect","I already tried to restart my phone but it didn't work, it may be that my router is too far, but even when I'm in the same room as the router my phone won't connect"
66,13,student,student,"No I haven't tried that yet i'm gonna try and let you if It did work or not, can you wait a few minutes?","No I haven't tried that yet i'm gonna try and let you if It did work or not, can you wait a few minutes?","No I haven't tried that yet i'm gonna try and let you if It did work or not, can you wait a few minutes?"
67,15,student,student,"I tried your suggestion to forget the Wi-fi and <DMCC corr=""I"">i</DMCC> can happly tell you that it did work and now my phone is connecting to the Wi-fi in my house, thank you so much for helping me out","I tried your suggestion to forget the Wi-fi and i can happly tell you that it did work and now my phone is connecting to the Wi-fi in my house, thank you so much for helping me out","I tried your suggestion to forget the Wi-fi and I can happly tell you that it did work and now my phone is connecting to the Wi-fi in my house, thank you so much for helping me out"
68,17,student,student,Hi Pi at the start of this year I started listening to a new band called Bnkr44. Do you know who they are? And if you know them do you think they make great music?,Hi Pi at the start of this year I started listening to a new band called Bnkr44. Do you know who they are? And if you know them do you think they make great music?,Hi Pi at the start of this year I started listening to a new band called Bnkr44. Do you know who they are? And if you know them do you think they make great music?
69,19,student,student,"I think they are really talented and I like their music so much. At the moment <DMCC corr=""I"">i</DMCC> have three favorite <GNN corr=""songs"">song</GNN>: <DMCC corr=""Proiettili"">proiettili</DMCC>, <DMCC corr=""Disordine"">disordine</DMCC> and <DMCC corr=""Scritto per te"">scritto per te</DMCC>","I think they are really talented and I like their music so much. At the moment i have three favorite song: proiettili, disordine and scritto per te","I think they are really talented and I like their music so much. At the moment I have three favorite songs: Proiettili, Disordine and Scritto per te"
70,21,student,student,"I didn't know about this collab, but <DMCC corr=""I"">i</DMCC> really liked their collaboration with Tananai","I didn't know about this collab, but i really liked their collaboration with Tananai","I didn't know about this collab, but I really liked their collaboration with Tananai"
71,23,student,student,"Oh no <DMCC corr=""I"">i</DMCC> discovered them through Sanremo, with their <FS corr=""song"">son</FS> Governo Punk","Oh no i discovered them through Sanremo, with their son Governo Punk","Oh no I discovered them through Sanremo, with their song Governo Punk"
72,25,student,student,"Their performance really <GVM corr=""caught"">catched</GVM> my attention, especially one of the members really amazed me","Their performance really catched my attention, especially one of the members really amazed me","Their performance really caught my attention, especially one of the members really amazed me"
73,27,student,student,"It was Faster, he really is my favorite member and <DMCC corr=""I"">i</DMCC> actually met him and a few of them after one of their <GNN corr=""concerts"">concert</GNN>!","It was Faster, he really is my favorite member and i actually met him and a few of them after one of their concert!","It was Faster, he really is my favorite member and I actually met him and a few of them after one of their concerts!"
74,29,student,student,"They <FS corr=""were"">where</FS> really friendly",They where really friendly,They were really friendly
75,1,student,student,"<DMCC corr=""You"">you</DMCC> are an encouraging tutor who helps students to improve their English by engaging in role play activities. Let's engage in <GA corr=""a"">\0</GA> role play activity where I, the student, play the role of a client <FS corr=""looking"">looling</FS> for a house.  You, the AI, will be the real estate agent. Ask me <GNN corr=""questions"">question</GNN> about my <LSN corr=""housing"">houses</LSN> preferences, the locations and budget.","you are an encouraging tutor who helps students to improve their English by engaging in role play activities. Let's engage in \0 role play activity where I, the student, play the role of a client looling for a house.  You, the AI, will be the real estate agent. Ask me question about my houses preferences, the locations and budget.","You are an encouraging tutor who helps students to improve their English by engaging in role play activities. Let's engage in a role play activity where I, the student, play the role of a client looking for a house.  You, the AI, will be the real estate agent. Ask me questions about my housing preferences, the locations and budget."
76,3,student,student,"<FS corr=""I'm"">Im</FS> looking for an apartment for a single person with one bathroom, two <GNN corr=""bedrooms"">bedroom</GNN> and a big kitchen","Im looking for an apartment for a single person with one bathroom, two bedroom and a big kitchen","I'm looking for an apartment for a single person with one bathroom, two bedrooms and a big kitchen"
77,5,student,student,"I would like to rent the apartment in a place with fun activities to do for young people in the city centre, also I would love a pool in my apartment building","I would like to rent the apartment in a place with fun activities to do for young people in the city centre, also I would love a pool in my apartment building","I would like to rent the apartment in a place with fun activities to do for young people in the city centre, also I would love a pool in my apartment building"
78,7,student,student,"<DMCC corr=""Can"">can</DMCC> you find an apartment with a similar style <LSPR corr=""to"">of</LSPR> New York lofts? <DMCC corr=""Keep"">keep</DMCC> in mind that I cannot spend more than 3k a month",can you find an apartment with a similar style of New York lofts? keep in mind that I cannot spend more than 3k a month,Can you find an apartment with a similar style to New York lofts? Keep in mind that I cannot spend more than 3k a month
79,9,student,student,"<DMCC corr=""I"">i</DMCC> want the place to be already furnished and also it's my <FS corr=""dream"">dram</FS> to have a rooftop terrace",i want the place to be already furnished and also it's my dram to have a rooftop terrace,I want the place to be already furnished and also it's my dream to have a rooftop terrace
80,11,student,student,"<DMCC corr=""Hi"">hi</DMCC>! <DMCC corr=""I"">i</DMCC> want to talk to you about holidays",hi! i want to talk to you about holidays,Hi! I want to talk to you about holidays
81,13,student,student,"<DMCC corr=""I"">i</DMCC> want to tell you about my favourite holiday. It was in Oxford a couple of years ago. I stayed there for 3 weeks and <DMCC corr=""I"">i</DMCC> had so much fun",i want to tell you about my favourite holiday. It was in Oxford a couple of years ago. I stayed there for 3 weeks and i had so much fun,I want to tell you about my favourite holiday. It was in Oxford a couple of years ago. I stayed there for 3 weeks and I had so much fun
82,15,student,student,"<DMCC corr=""Yes"">yes</DMCC> <DMCC corr=""I"">i</DMCC> saw a lot of things like the university <QL corr=""and"">,</QL> the libraries. The food <FS corr=""wasn't"">wasnt</FS> great so <DMCC corr=""I"">i</DMCC> ate almost <FS corr=""every day"">everyday</FS> at <FS corr=""fast food"">fastfood</FS> places which <FS corr=""wasn't"">wasnt</FS> really good for my body.","yes i saw a lot of things like the university, the libraries. The food wasnt great so i ate almost everyday at fastfood places which wasnt really good for my body.",Yes I saw a lot of things like the university and the libraries. The food wasn't great so I ate almost every day at fast food places which wasn't really good for my body.
83,17,student,student,"<DMCC corr=""No"">no</DMCC> <DMCC corr=""I"">i</DMCC> <FS corr=""didn't"">didnt</FS> because I <FS corr=""don't"">dont</FS> like fish...",no i didnt because I dont like fish...,No I didn't because I don't like fish...
84,19,student,student,"<DMCC corr=""No"">no</DMCC> <DMCC corr=""I"">i</DMCC> <FS corr=""didn't"">didnt</FS> but <DMCC corr=""I"">i</DMCC> went bowling and ice <FS corr=""skating"">staking</FS> in this trip and <DMCC corr=""I"">i</DMCC> had fun",no i didnt but i went bowling and ice staking in this trip and i had fun,No I didn't but I went bowling and ice skating in this trip and I had fun
85,1,student,student,Hi,Hi,Hi
86,3,student,student,"<DMCC corr=""How"">how</DMCC> are you today?",how are you today?,How are you today?
87,5,student,student,"I'm very sad because my <Z corr=""diet"">food routine</Z> is gluten free",I'm very sad because my food routine is gluten free,I'm very sad because my diet is gluten free
88,7,student,student,Yes,Yes,Yes
89,9,student,student,Lunch,Lunch,Lunch
90,11,student,student,I'm also vegan,I'm also vegan,I'm also vegan
91,13,student,student,"<GVAUX corr=""Do"">\0</GVAUX> You have other <FS corr=""recipes"">recipets</FS> <LSPR corr=""for"">\0</LSPR> <GA corr=""\0"">a</GA> gluten free and vegan <LSN corr=""diet"">food</LSN>?",\0 You have other recipets \0 a gluten free and vegan food?,Do You have other recipes for \0 gluten free and vegan diet?
92,15,student,student,"<DMCC corr=""Oh"">oh</DMCC>, you are very <LWCO corr=""knowledgeable"">informated</LWCO>","oh, you are very informated","Oh, you are very knowledgeable"
93,17,student,student,"Today <DMCC corr=""I"">i</DMCC> <GVT corr=""will"">\0</GVT> see my friends",Today i \0 see my friends,Today I will see my friends
94,19,student,student,"<DMCC corr=""I"">i</DMCC> don't speak <DMCC corr=""English"">english</DMCC>",i don't speak english,I don't speak English
95,21,student,student,"<DMCC corr=""I"">i</DMCC> <GVM corr=""'m studying"">'m study</GVM> criminology, <GPP corr=""it"">\0</GPP> is <GADJCS corr=""very"">most</GADJCS> difficult","i'm study criminology, \0 is most difficult","I 'm studying criminology, it is very difficult"
96,23,student,student,"<DMCC corr=""Studying"">None</DMCC> violence and genocide, it's very sad <GVNF corr=""studying"">study</GVNF>","study violence and genocide, it's very sad","Studying violence and genocide, it's very sad studying"
97,25,student,student,"<DMCC corr=""The"">the</DMCC> <LSADJ corr=""greatest"">major</LSADJ> <GNN corr=""risk"">risks</GNN> <GPP corr=""\0"">it</GPP>'s PTSD",the major risks it's PTSD,The greatest risk \0's PTSD
98,27,student,student,"<DMCC corr=""I"">i</DMCC> <GVT corr=""want to study"">would </GVT> restorative justice <FS corr=""study"">studi</FS> <LSPR corr=""in"">for</LSPR> my future",i would studi restorative justice for my future,I want to study restorative justice study in my future
99,29,student,student,"<DMCC corr=""People"">people</DMCC>'s lives <GVN corr=""are"">is</GVN> very complicated",people's lives is very complicated,People's lives are very complicated
100,31,student,student,"<DMCC corr=""What"">None</DMCC> <GPR corr=""what"">whats</GPR> <GVAUX corr=""do"">\0</GVAUX> you think about panopticon?",whats \0 you think about panopticon?,What what do you think about panopticon?
101,33,student,student,"<DMCC corr=""What"">None</DMCC> do you think <GPR corr=""what"">whats</GPR> <QM corr=""?"">\0</QM>",whats do you think \0,What do you think what ?
102,35,student,student,"<DMCC corr=""You"">you</DMCC> are an encouraging tutor who helps students improve their <DMCC corr=""English"">english</DMCC> by engagigng in role play <FS corr=""activities"">actvities</FS>. Let's engage in a role play activity <FS corr=""where"">whe4re</FS> I, the student, play the role of a <CSINTRA corr=""criminal mediator"">mediatrice penale</CSINTRA>. <DMCC corr=""You"">you</DMCC>, the AI, will be the Restorative <FS corr=""justice"">jjustice</FS>. Ask me questions about <Z corr=""?"">scenary</Z> in the <FS corr=""conflict"">conflit</FS> created by slut shaming?","you are an encouraging tutor who helps students improve their english by engagigng in role play actvities. Let's engage in a role play activity whe4re I, the student, play the role of a mediatrice penale. you, the AI, will be the Restorative jjustice. Ask me questions about scenary in the conflit created by slut shaming?","You are an encouraging tutor who helps students improve their English by engagigng in role play activities. Let's engage in a role play activity where I, the student, play the role of a criminal mediator. You, the AI, will be the Restorative justice. Ask me questions about ? in the conflict created by slut shaming?"
103,37,student,student,"<DMCC corr=""I"">i</DMCC>'m <GA corr=""a"">\0</GA> mediator and <DMCC corr=""I"">i</DMCC> <GVAUX corr=""don't have"">haven't</GVAUX> strategies <LSPR corr=""to"">for</LSPR> <LWCO corr=""solve"">resolver</LWCO> this conflict",i'm \0 mediator and i haven't strategies for resolver this conflict,I'm a mediator and I don't have strategies to solve this conflict
104,39,student,student,"<DMCC corr=""Thank"">thank</DMCC> you",thank you,Thank you
105,41,student,student,"<DMCC corr=""What"">None</DMCC> <GPR corr=""what"">whats</GPR> <GVN corr=""are"">is</GVN> brainstorm options?",whats is brainstorm options?,What what are brainstorm options?
106,43,student,student,"<DMCC corr=""If"">if</DMCC> you <Z corr=""?"">submit the </Z>, what are you doing? <GADJO corr=""sexual violence"">violence sexual</GADJO>","if you submit the violence sexual, what are you doing?","If you ?, what are you doing? sexual violence"
107,45,student,student,"<DMCC corr=""What"">None</DMCC> is <GPR corr=""what"">whats</GPR> <GA corr=""\0"">the</GA> victim blaming?",whats is the victim blaming?,What is what \0 victim blaming?
108,47,student,student,"<WO corr=""Is the police efficient"">None</WO> in this <DMCC corr=""The"">the</DMCC> police is efficient <LWCO corr=""context"">contest</LWCO>?",the police is efficient in this contest?,Is the police efficient in this The police is efficient context?
